target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2025-04-16,2025-04-13,0.01,1,quantile,832.156982901844
ILI incidence,AT,2025-04-16,2025-04-13,0.025,1,quantile,895.743459429419
ILI incidence,AT,2025-04-16,2025-04-13,0.05,1,quantile,964.532032490926
ILI incidence,AT,2025-04-16,2025-04-13,0.1,1,quantile,1097.0683405832
ILI incidence,AT,2025-04-16,2025-04-13,0.15,1,quantile,1165.09710995767
ILI incidence,AT,2025-04-16,2025-04-13,0.2,1,quantile,1239.92645136558
ILI incidence,AT,2025-04-16,2025-04-13,0.25,1,quantile,1287.4940613486
ILI incidence,AT,2025-04-16,2025-04-13,0.3,1,quantile,1336.84993083603
ILI incidence,AT,2025-04-16,2025-04-13,0.35,1,quantile,1399.64069937558
ILI incidence,AT,2025-04-16,2025-04-13,0.4,1,quantile,1468.80154105925
ILI incidence,AT,2025-04-16,2025-04-13,0.45,1,quantile,1532.01031823361
ILI incidence,AT,2025-04-16,2025-04-13,0.5,1,quantile,1597.23596600195
ILI incidence,AT,2025-04-16,2025-04-13,0.55,1,quantile,1658.03676913669
ILI incidence,AT,2025-04-16,2025-04-13,0.6,1,quantile,1711.93679240555
ILI incidence,AT,2025-04-16,2025-04-13,0.65,1,quantile,1780.04260458042
ILI incidence,AT,2025-04-16,2025-04-13,0.7,1,quantile,1848.19291489693
ILI incidence,AT,2025-04-16,2025-04-13,0.75,1,quantile,1922.41398087495
ILI incidence,AT,2025-04-16,2025-04-13,0.8,1,quantile,2007.43453279531
ILI incidence,AT,2025-04-16,2025-04-13,0.85,1,quantile,2107.45585388461
ILI incidence,AT,2025-04-16,2025-04-13,0.9,1,quantile,2266.22987564408
ILI incidence,AT,2025-04-16,2025-04-13,0.95,1,quantile,2464.86725789591
ILI incidence,AT,2025-04-16,2025-04-13,0.975,1,quantile,2715.18152434318
ILI incidence,AT,2025-04-16,2025-04-13,0.99,1,quantile,2973.77125022231
ILI incidence,AT,2025-04-16,2025-04-20,0.01,2,quantile,548.856221921739
ILI incidence,AT,2025-04-16,2025-04-20,0.025,2,quantile,628.527693686864
ILI incidence,AT,2025-04-16,2025-04-20,0.05,2,quantile,718.235282609762
ILI incidence,AT,2025-04-16,2025-04-20,0.1,2,quantile,841.076667861723
ILI incidence,AT,2025-04-16,2025-04-20,0.15,2,quantile,934.102017467736
ILI incidence,AT,2025-04-16,2025-04-20,0.2,2,quantile,1021.49936878782
ILI incidence,AT,2025-04-16,2025-04-20,0.25,2,quantile,1096.18034495747
ILI incidence,AT,2025-04-16,2025-04-20,0.3,2,quantile,1174.20064482521
ILI incidence,AT,2025-04-16,2025-04-20,0.35,2,quantile,1261.92970015015
ILI incidence,AT,2025-04-16,2025-04-20,0.4,2,quantile,1336.41436506953
ILI incidence,AT,2025-04-16,2025-04-20,0.45,2,quantile,1392.3982316673
ILI incidence,AT,2025-04-16,2025-04-20,0.5,2,quantile,1478.86511381401
ILI incidence,AT,2025-04-16,2025-04-20,0.55,2,quantile,1572.36955694565
ILI incidence,AT,2025-04-16,2025-04-20,0.6,2,quantile,1646.02858440697
ILI incidence,AT,2025-04-16,2025-04-20,0.65,2,quantile,1732.21638269839
ILI incidence,AT,2025-04-16,2025-04-20,0.7,2,quantile,1838.59219941021
ILI incidence,AT,2025-04-16,2025-04-20,0.75,2,quantile,1949.52973673346
ILI incidence,AT,2025-04-16,2025-04-20,0.8,2,quantile,2074.60167678958
ILI incidence,AT,2025-04-16,2025-04-20,0.85,2,quantile,2238.4031244035
ILI incidence,AT,2025-04-16,2025-04-20,0.9,2,quantile,2523.88760426735
ILI incidence,AT,2025-04-16,2025-04-20,0.95,2,quantile,2943.49542972148
ILI incidence,AT,2025-04-16,2025-04-20,0.975,2,quantile,3339.15643763496
