target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2025-05-28,2025-05-25,0.01,1,quantile,0
ILI incidence,AT,2025-05-28,2025-05-25,0.025,1,quantile,4.22233026861532
ILI incidence,AT,2025-05-28,2025-05-25,0.05,1,quantile,22.2843574584418
ILI incidence,AT,2025-05-28,2025-05-25,0.1,1,quantile,66.0641296427564
ILI incidence,AT,2025-05-28,2025-05-25,0.15,1,quantile,111.877995290893
ILI incidence,AT,2025-05-28,2025-05-25,0.2,1,quantile,182.763812499208
ILI incidence,AT,2025-05-28,2025-05-25,0.25,1,quantile,284.190198317893
ILI incidence,AT,2025-05-28,2025-05-25,0.3,1,quantile,429.748743902405
ILI incidence,AT,2025-05-28,2025-05-25,0.35,1,quantile,594.052502043105
ILI incidence,AT,2025-05-28,2025-05-25,0.4,1,quantile,726.961761448344
ILI incidence,AT,2025-05-28,2025-05-25,0.45,1,quantile,900.519046873982
ILI incidence,AT,2025-05-28,2025-05-25,0.5,1,quantile,1054.60667609486
ILI incidence,AT,2025-05-28,2025-05-25,0.55,1,quantile,1251.35242599255
ILI incidence,AT,2025-05-28,2025-05-25,0.6,1,quantile,1399.44595200421
ILI incidence,AT,2025-05-28,2025-05-25,0.65,1,quantile,1607.85231387433
ILI incidence,AT,2025-05-28,2025-05-25,0.7,1,quantile,1835.71545552262
ILI incidence,AT,2025-05-28,2025-05-25,0.75,1,quantile,2023.1373120148
ILI incidence,AT,2025-05-28,2025-05-25,0.8,1,quantile,2318.36035368586
ILI incidence,AT,2025-05-28,2025-05-25,0.85,1,quantile,2681.14170012401
ILI incidence,AT,2025-05-28,2025-05-25,0.9,1,quantile,3027.73865598091
ILI incidence,AT,2025-05-28,2025-05-25,0.95,1,quantile,3566.36876544906
ILI incidence,AT,2025-05-28,2025-05-25,0.975,1,quantile,4247.24280916531
ILI incidence,AT,2025-05-28,2025-05-25,0.99,1,quantile,4996.00776023696
ILI incidence,AT,2025-05-28,2025-06-01,0.01,2,quantile,32.0465946945757
ILI incidence,AT,2025-05-28,2025-06-01,0.025,2,quantile,50.2751643833592
ILI incidence,AT,2025-05-28,2025-06-01,0.05,2,quantile,86.6162413200323
ILI incidence,AT,2025-05-28,2025-06-01,0.1,2,quantile,149.957598565146
ILI incidence,AT,2025-05-28,2025-06-01,0.15,2,quantile,209.802773564115
ILI incidence,AT,2025-05-28,2025-06-01,0.2,2,quantile,270.006498541052
ILI incidence,AT,2025-05-28,2025-06-01,0.25,2,quantile,350.326370091976
ILI incidence,AT,2025-05-28,2025-06-01,0.3,2,quantile,433.696086636822
ILI incidence,AT,2025-05-28,2025-06-01,0.35,2,quantile,552.135554893187
ILI incidence,AT,2025-05-28,2025-06-01,0.4,2,quantile,689.825717886655
ILI incidence,AT,2025-05-28,2025-06-01,0.45,2,quantile,822.866778975409
ILI incidence,AT,2025-05-28,2025-06-01,0.5,2,quantile,1009.06433554416
ILI incidence,AT,2025-05-28,2025-06-01,0.55,2,quantile,1222.83083421175
ILI incidence,AT,2025-05-28,2025-06-01,0.6,2,quantile,1381.64702551887
ILI incidence,AT,2025-05-28,2025-06-01,0.65,2,quantile,1578.08173450001
ILI incidence,AT,2025-05-28,2025-06-01,0.7,2,quantile,1811.47967507926
ILI incidence,AT,2025-05-28,2025-06-01,0.75,2,quantile,2046.85094213808
ILI incidence,AT,2025-05-28,2025-06-01,0.8,2,quantile,2344.60288236448
ILI incidence,AT,2025-05-28,2025-06-01,0.85,2,quantile,2674.30211235619
ILI incidence,AT,2025-05-28,2025-06-01,0.9,2,quantile,3128.23356031933
ILI incidence,AT,2025-05-28,2025-06-01,0.95,2,quantile,3961.66243691083
ILI incidence,AT,2025-05-28,2025-06-01,0.975,2,quantile,4549.35879244966
ILI incidence,AT,2025-05-28,2025-06-01,0.99,2,quantile,5031.78735418769
ILI incidence,AT,2025-05-28,2025-06-08,0.01,3,quantile,32.6099445122918
ILI incidence,AT,2025-05-28,2025-06-08,0.025,3,quantile,70.1316971659833
ILI incidence,AT,2025-05-28,2025-06-08,0.05,3,quantile,101.053595646405
ILI incidence,AT,2025-05-28,2025-06-08,0.1,3,quantile,167.998375632451
ILI incidence,AT,2025-05-28,2025-06-08,0.15,3,quantile,235.701912288594
ILI incidence,AT,2025-05-28,2025-06-08,0.2,3,quantile,297.101103460558
ILI incidence,AT,2025-05-28,2025-06-08,0.25,3,quantile,370.551853271058
ILI incidence,AT,2025-05-28,2025-06-08,0.3,3,quantile,440.483572374579
ILI incidence,AT,2025-05-28,2025-06-08,0.35,3,quantile,545.815532659053
ILI incidence,AT,2025-05-28,2025-06-08,0.4,3,quantile,686.843558080593
ILI incidence,AT,2025-05-28,2025-06-08,0.45,3,quantile,817.36528084886
ILI incidence,AT,2025-05-28,2025-06-08,0.5,3,quantile,972.079504238123
ILI incidence,AT,2025-05-28,2025-06-08,0.55,3,quantile,1148.59689568513
ILI incidence,AT,2025-05-28,2025-06-08,0.6,3,quantile,1322.4420403655
ILI incidence,AT,2025-05-28,2025-06-08,0.65,3,quantile,1511.71425319352
ILI incidence,AT,2025-05-28,2025-06-08,0.7,3,quantile,1754.40221085653
ILI incidence,AT,2025-05-28,2025-06-08,0.75,3,quantile,2010.72452267293
ILI incidence,AT,2025-05-28,2025-06-08,0.8,3,quantile,2357.56451384608
ILI incidence,AT,2025-05-28,2025-06-08,0.85,3,quantile,2772.03846660372
ILI incidence,AT,2025-05-28,2025-06-08,0.9,3,quantile,3252.80485746188
ILI incidence,AT,2025-05-28,2025-06-08,0.95,3,quantile,4131.97524299248
ILI incidence,AT,2025-05-28,2025-06-08,0.975,3,quantile,4696.22386072983
ILI incidence,AT,2025-05-28,2025-06-08,0.99,3,quantile,5132.45547711729
ILI incidence,AT,2025-05-28,2025-06-15,0.01,4,quantile,38.3811485721806
ILI incidence,AT,2025-05-28,2025-06-15,0.025,4,quantile,85.9364020349602
ILI incidence,AT,2025-05-28,2025-06-15,0.05,4,quantile,132.965878594066
ILI incidence,AT,2025-05-28,2025-06-15,0.1,4,quantile,216.054808289075
ILI incidence,AT,2025-05-28,2025-06-15,0.15,4,quantile,270.086235652037
ILI incidence,AT,2025-05-28,2025-06-15,0.2,4,quantile,333.516326681747
ILI incidence,AT,2025-05-28,2025-06-15,0.25,4,quantile,388.038487581968
ILI incidence,AT,2025-05-28,2025-06-15,0.3,4,quantile,474.69449302134
ILI incidence,AT,2025-05-28,2025-06-15,0.35,4,quantile,571.47078543387
ILI incidence,AT,2025-05-28,2025-06-15,0.4,4,quantile,703.022879098178
ILI incidence,AT,2025-05-28,2025-06-15,0.45,4,quantile,828.739542598689
ILI incidence,AT,2025-05-28,2025-06-15,0.5,4,quantile,942.712203959046
ILI incidence,AT,2025-05-28,2025-06-15,0.55,4,quantile,1096.02294401432
ILI incidence,AT,2025-05-28,2025-06-15,0.6,4,quantile,1251.82120404134
ILI incidence,AT,2025-05-28,2025-06-15,0.65,4,quantile,1503.73752077027
ILI incidence,AT,2025-05-28,2025-06-15,0.7,4,quantile,1746.52013869078
ILI incidence,AT,2025-05-28,2025-06-15,0.75,4,quantile,2058.84241575789
ILI incidence,AT,2025-05-28,2025-06-15,0.8,4,quantile,2334.09328885105
ILI incidence,AT,2025-05-28,2025-06-15,0.85,4,quantile,2791.89458501182
ILI incidence,AT,2025-05-28,2025-06-15,0.9,4,quantile,3347.0003046719
ILI incidence,AT,2025-05-28,2025-06-15,0.95,4,quantile,4111.65129644986
ILI incidence,AT,2025-05-28,2025-06-15,0.975,4,quantile,4627.99394387933
ILI incidence,AT,2025-05-28,2025-06-15,0.99,4,quantile,5433.71995235468
ILI incidence,AT,2025-05-28,2025-05-25,,1,median,1054.60667609486
ILI incidence,AT,2025-05-28,2025-06-01,,2,median,1009.06433554416
ILI incidence,AT,2025-05-28,2025-06-08,,3,median,972.079504238123
ILI incidence,AT,2025-05-28,2025-06-15,,4,median,942.712203959046
ILI incidence,BE,2025-05-28,2025-05-25,0.01,1,quantile,0
ILI incidence,BE,2025-05-28,2025-05-25,0.025,1,quantile,0
ILI incidence,BE,2025-05-28,2025-05-25,0.05,1,quantile,0
ILI incidence,BE,2025-05-28,2025-05-25,0.1,1,quantile,3.47666499199334
ILI incidence,BE,2025-05-28,2025-05-25,0.15,1,quantile,7.89365452497141
ILI incidence,BE,2025-05-28,2025-05-25,0.2,1,quantile,12.69243639482
ILI incidence,BE,2025-05-28,2025-05-25,0.25,1,quantile,15.8740779446356
ILI incidence,BE,2025-05-28,2025-05-25,0.3,1,quantile,19.3594884756288
ILI incidence,BE,2025-05-28,2025-05-25,0.35,1,quantile,22.1025135836676
ILI incidence,BE,2025-05-28,2025-05-25,0.4,1,quantile,25.7165360583748
ILI incidence,BE,2025-05-28,2025-05-25,0.45,1,quantile,28.2998339571375
ILI incidence,BE,2025-05-28,2025-05-25,0.5,1,quantile,32.0557575836936
ILI incidence,BE,2025-05-28,2025-05-25,0.55,1,quantile,35.4737973242952
ILI incidence,BE,2025-05-28,2025-05-25,0.6,1,quantile,39.4222264805765
ILI incidence,BE,2025-05-28,2025-05-25,0.65,1,quantile,43.0203777796017
ILI incidence,BE,2025-05-28,2025-05-25,0.7,1,quantile,47.4592801796127
ILI incidence,BE,2025-05-28,2025-05-25,0.75,1,quantile,52.7062158047459
ILI incidence,BE,2025-05-28,2025-05-25,0.8,1,quantile,58.1489374350812
ILI incidence,BE,2025-05-28,2025-05-25,0.85,1,quantile,63.4663927224993
ILI incidence,BE,2025-05-28,2025-05-25,0.9,1,quantile,75.2695209167535
ILI incidence,BE,2025-05-28,2025-05-25,0.95,1,quantile,92.6401781056641
ILI incidence,BE,2025-05-28,2025-05-25,0.975,1,quantile,110.473760658757
ILI incidence,BE,2025-05-28,2025-05-25,0.99,1,quantile,141.768530923311
ILI incidence,BE,2025-05-28,2025-06-01,0.01,2,quantile,0
ILI incidence,BE,2025-05-28,2025-06-01,0.025,2,quantile,0
ILI incidence,BE,2025-05-28,2025-06-01,0.05,2,quantile,0
ILI incidence,BE,2025-05-28,2025-06-01,0.1,2,quantile,0
ILI incidence,BE,2025-05-28,2025-06-01,0.15,2,quantile,0.589094350164638
ILI incidence,BE,2025-05-28,2025-06-01,0.2,2,quantile,5.62332618915862
ILI incidence,BE,2025-05-28,2025-06-01,0.25,2,quantile,10.3554671018614
ILI incidence,BE,2025-05-28,2025-06-01,0.3,2,quantile,14.411753417976
ILI incidence,BE,2025-05-28,2025-06-01,0.35,2,quantile,18.9960044729316
ILI incidence,BE,2025-05-28,2025-06-01,0.4,2,quantile,23.4191784310811
ILI incidence,BE,2025-05-28,2025-06-01,0.45,2,quantile,27.4234882734297
ILI incidence,BE,2025-05-28,2025-06-01,0.5,2,quantile,32.0265557891375
ILI incidence,BE,2025-05-28,2025-06-01,0.55,2,quantile,37.319875661983
ILI incidence,BE,2025-05-28,2025-06-01,0.6,2,quantile,42.5057062749065
ILI incidence,BE,2025-05-28,2025-06-01,0.65,2,quantile,50.3778673217796
ILI incidence,BE,2025-05-28,2025-06-01,0.7,2,quantile,55.9248820409992
ILI incidence,BE,2025-05-28,2025-06-01,0.75,2,quantile,65.2485934013143
ILI incidence,BE,2025-05-28,2025-06-01,0.8,2,quantile,77.0614362206123
ILI incidence,BE,2025-05-28,2025-06-01,0.85,2,quantile,89.26868378315
ILI incidence,BE,2025-05-28,2025-06-01,0.9,2,quantile,108.231654000809
ILI incidence,BE,2025-05-28,2025-06-01,0.95,2,quantile,155.476235940797
ILI incidence,BE,2025-05-28,2025-06-01,0.975,2,quantile,187.82291010295
ILI incidence,BE,2025-05-28,2025-06-01,0.99,2,quantile,232.628629016376
ILI incidence,BE,2025-05-28,2025-06-08,0.01,3,quantile,0
ILI incidence,BE,2025-05-28,2025-06-08,0.025,3,quantile,0
ILI incidence,BE,2025-05-28,2025-06-08,0.05,3,quantile,0
ILI incidence,BE,2025-05-28,2025-06-08,0.1,3,quantile,0
ILI incidence,BE,2025-05-28,2025-06-08,0.15,3,quantile,0
ILI incidence,BE,2025-05-28,2025-06-08,0.2,3,quantile,0.697695290238041
ILI incidence,BE,2025-05-28,2025-06-08,0.25,3,quantile,5.69850336095249
ILI incidence,BE,2025-05-28,2025-06-08,0.3,3,quantile,11.1357362884338
ILI incidence,BE,2025-05-28,2025-06-08,0.35,3,quantile,16.5144056131819
ILI incidence,BE,2025-05-28,2025-06-08,0.4,3,quantile,20.6831476173648
ILI incidence,BE,2025-05-28,2025-06-08,0.45,3,quantile,26.4274141987947
ILI incidence,BE,2025-05-28,2025-06-08,0.5,3,quantile,32.5875888200165
ILI incidence,BE,2025-05-28,2025-06-08,0.55,3,quantile,39.3376278723366
ILI incidence,BE,2025-05-28,2025-06-08,0.6,3,quantile,47.4273796362477
ILI incidence,BE,2025-05-28,2025-06-08,0.65,3,quantile,55.8631867080099
ILI incidence,BE,2025-05-28,2025-06-08,0.7,3,quantile,65.6511156337387
ILI incidence,BE,2025-05-28,2025-06-08,0.75,3,quantile,76.5468623597405
ILI incidence,BE,2025-05-28,2025-06-08,0.8,3,quantile,91.2787452545722
ILI incidence,BE,2025-05-28,2025-06-08,0.85,3,quantile,118.299695652956
ILI incidence,BE,2025-05-28,2025-06-08,0.9,3,quantile,149.013464959892
ILI incidence,BE,2025-05-28,2025-06-08,0.95,3,quantile,209.027029542397
ILI incidence,BE,2025-05-28,2025-06-08,0.975,3,quantile,280.285681552533
ILI incidence,BE,2025-05-28,2025-06-08,0.99,3,quantile,377.348420790442
ILI incidence,BE,2025-05-28,2025-06-15,0.01,4,quantile,0
ILI incidence,BE,2025-05-28,2025-06-15,0.025,4,quantile,0
ILI incidence,BE,2025-05-28,2025-06-15,0.05,4,quantile,0
ILI incidence,BE,2025-05-28,2025-06-15,0.1,4,quantile,0
ILI incidence,BE,2025-05-28,2025-06-15,0.15,4,quantile,0
