origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.010,0.0
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.025,69.5
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.050,637.7
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.100,1019.5999999999999
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.150,1182.8999999999999
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.200,1361.5999999999997
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.250,1503.2999999999997
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.300,1627.7999999999997
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.350,1714.6999999999998
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.400,1860.6999999999998
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.450,1981.805
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.500,2054.6
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.550,2121.1
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.600,2240.1
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.650,2395.7
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.700,2482.2899999999995
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.750,2605.375
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.800,2736.4
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.850,2929.0
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.900,3111.3999999999996
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.950,3517.2
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.975,4089.867499999999
2024-12-18,ILI incidence,1,2024-12-15,AT,quantile,0.990,4757.413000000009
2024-12-18,ILI incidence,1,2024-12-15,AT,median,,2054.6
2024-12-18,ILI incidence,2,2024-12-22,AT,quantile,0.010,0.0
2024-12-18,ILI incidence,2,2024-12-22,AT,quantile,0.025,0.0
2024-12-18,ILI incidence,2,2024-12-22,AT,quantile,0.050,200.03499999999997
2024-12-18,ILI incidence,2,2024-12-22,AT,quantile,0.100,709.0899999999999
2024-12-18,ILI incidence,2,2024-12-22,AT,quantile,0.150,1004.4699999999996
2024-12-18,ILI incidence,2,2024-12-22,AT,quantile,0.200,1202.08
