origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.010,0.0
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.025,0.0
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.050,0.0
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.100,0.0
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.150,0.0
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.200,0.0
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.250,187.00000000000006
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.300,505.1000000000003
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.350,839.665000000001
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.400,1127.2000000000005
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.450,1417.6750000000004
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.500,1710.950000000001
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.550,1999.1000000000001
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.600,2296.48
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.650,2576.0450000000005
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.700,2906.1999999999994
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.750,3229.275
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.800,3666.86
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.850,4116.105
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.900,4677.330000000002
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.950,5606.429999999992
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.975,6413.519999999996
2025-07-09,ILI incidence,1,2025-07-06,AT,quantile,0.990,7308.017000000001
2025-07-09,ILI incidence,1,2025-07-06,AT,median,,1710.950000000001
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.010,0.0
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.025,0.0
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.050,0.0
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.100,0.0
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.150,0.0
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.200,0.0
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.250,101.32499999999976
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.300,497.1599999999994
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.350,823.7500000000001
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.400,1112.5600000000006
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.450,1417.130000000001
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.500,1713.65
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.550,2004.9450000000002
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.600,2320.68
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.650,2622.435
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.700,2962.8999999999996
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.750,3324.225
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.800,3722.0399999999995
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.850,4187.959999999999
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.900,4863.43
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.950,5738.444999999999
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.975,6571.259999999998
2025-07-09,ILI incidence,2,2025-07-13,AT,quantile,0.990,7602.355000000002
2025-07-09,ILI incidence,2,2025-07-13,AT,median,,1713.65
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.010,0.0
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.025,0.0
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.050,0.0
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.100,0.0
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.150,0.0
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.200,0.0
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.250,47.35000000000019
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.300,410.77
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.350,765.5699999999996
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.400,1084.9400000000005
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.450,1389.1550000000004
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.500,1715.050000000001
2025-07-09,ILI incidence,3,2025-07-20,AT,quantile,0.550,2044.690000000001
