origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.010,0.0
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.025,0.0
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.050,0.0
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.100,0.0
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.150,0.0
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.200,0.0
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.250,355.6499999999995
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.300,644.4200000000002
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.350,920.4999999999999
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.400,1178.6000000000001
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.450,1460.3550000000007
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.500,1718.7499999999995
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.550,1962.3900000000003
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.600,2218.66
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.650,2487.9150000000004
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.700,2749.1899999999996
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.750,3061.6000000000004
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.800,3412.9000000000005
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.850,3808.7349999999997
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.900,4331.750000000001
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.950,5124.124999999998
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.975,5764.697499999998
2025-06-18,ILI incidence,1,2025-06-15,AT,quantile,0.990,6610.2429999999995
2025-06-18,ILI incidence,1,2025-06-15,AT,median,,1718.7499999999995
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.010,0.0
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.025,0.0
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.050,0.0
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.100,0.0
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.150,0.0
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.200,0.0
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.250,287.15000000000003
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.300,613.6000000000005
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.350,904.0300000000005
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.400,1181.8400000000015
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.450,1461.3100000000002
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.500,1727.8
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.550,2001.6450000000002
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.600,2253.4400000000005
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.650,2538.535
2025-06-18,ILI incidence,2,2025-06-22,AT,quantile,0.700,2815.019999999999
