origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.010,0.0
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.025,0.0
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.050,0.0
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.100,0.0
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.150,0.0
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.200,329.3000000000005
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.250,625.1250000000002
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.300,872.5300000000003
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.350,1109.3449999999996
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.400,1312.1200000000003
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.450,1514.2200000000005
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.500,1721.6000000000004
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.550,1918.7450000000006
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.600,2134.1400000000003
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.650,2346.6200000000003
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.700,2571.86
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.750,2807.8250000000003
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.800,3101.92
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.850,3426.3450000000003
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.900,3854.76
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.950,4533.479999999999
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.975,5138.084999999999
2025-05-28,ILI incidence,1,2025-05-25,AT,quantile,0.990,5799.989000000002
2025-05-28,ILI incidence,1,2025-05-25,AT,median,,1721.6000000000004
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.010,0.0
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.025,0.0
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.050,0.0
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.100,0.0
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.150,0.0
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.200,245.60000000000036
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.250,545.8999999999999
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.300,813.4000000000002
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.350,1057.9599999999996
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.400,1277.7600000000016
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.450,1499.6
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.500,1710.7499999999998
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.550,1940.860000000001
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.600,2157.12
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.650,2376.645
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.700,2620.1199999999994
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.750,2888.225
2025-05-28,ILI incidence,2,2025-06-01,AT,quantile,0.800,3193.499999999999
