origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.010,0.0
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.025,0.0
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.050,398.89999999999964
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.100,895.6699999999996
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.150,1182.5799999999997
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.200,1372.44
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.250,1555.2749999999996
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.300,1705.2099999999998
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.350,1841.0849999999998
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.400,1970.26
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.450,2099.2
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.500,2220.1499999999996
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.550,2326.6900000000005
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.600,2455.26
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.650,2595.87
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.700,2727.7899999999995
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.750,2870.6
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.800,3038.1800000000003
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.850,3235.2899999999995
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.900,3525.7100000000005
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.950,4038.474999999999
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.975,4659.822499999999
2025-01-08,ILI incidence,1,2025-01-05,AT,quantile,0.990,5280.702
2025-01-08,ILI incidence,1,2025-01-05,AT,median,,2220.1499999999996
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.010,0.0
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.025,0.0
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.050,77.96499999999959
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.100,661.9799999999998
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.150,980.3849999999999
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.200,1223.2
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.250,1423.9999999999995
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.300,1603.1399999999996
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.350,1767.5299999999997
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.400,1927.9200000000003
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.450,2076.3
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.500,2224.75
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.550,2370.9800000000005
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.600,2505.18
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.650,2664.035
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.700,2813.0599999999995
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.750,2984.675
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.800,3176.22
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.850,3412.515
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.900,3764.29
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.950,4349.284999999998
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.975,4915.212499999997
2025-01-08,ILI incidence,2,2025-01-12,AT,quantile,0.990,5552.696000000003
2025-01-08,ILI incidence,2,2025-01-12,AT,median,,2224.75
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.010,0.0
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.025,0.0
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.050,0.0
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.100,403.1399999999999
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.150,801.4000000000002
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.200,1084.2799999999997
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.250,1315.1749999999997
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.300,1516.6399999999999
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.350,1711.195
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.400,1890.1200000000001
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.450,2055.675
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.500,2212.0000000000005
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.550,2365.080000000001
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.600,2533.74
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.650,2705.7450000000003
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.700,2884.46
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.750,3090.95
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.800,3312.66
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.850,3589.9299999999994
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.900,3955.2200000000016
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.950,4602.304999999999
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.975,5199.3025
2025-01-08,ILI incidence,3,2025-01-19,AT,quantile,0.990,5913.915
2025-01-08,ILI incidence,3,2025-01-19,AT,median,,2212.0000000000005
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.010,0.0
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.025,0.0
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.050,0.0
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.100,258.6500000000003
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.150,639.9099999999996
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.200,953.9200000000006
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.250,1209.45
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.300,1448.87
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.350,1652.1649999999997
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.400,1847.1999999999998
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.450,2024.575
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.500,2208.6499999999996
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.550,2398.59
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.600,2580.82
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.650,2778.705
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.700,2970.719999999999
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.750,3186.6999999999994
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.800,3430.1200000000013
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.850,3756.1149999999993
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.900,4199.11
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.950,4879.53
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.975,5524.714999999998
2025-01-08,ILI incidence,4,2025-01-26,AT,quantile,0.990,6218.330000000002
2025-01-08,ILI incidence,4,2025-01-26,AT,median,,2208.6499999999996
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.010,0.0
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.025,0.0
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.050,82.3900000000001
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.100,200.19
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.150,232.5
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.200,251.57999999999998
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.250,266.975
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.300,279.7699999999999
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.350,291.59999999999997
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.400,301.7
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.450,312.755
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.500,323.7
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.550,332.6
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.600,343.4
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.650,354.59999999999997
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.700,365.7
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.750,378.42499999999995
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.800,394.7
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.850,412.91499999999996
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.900,442.7
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.950,531.1749999999989
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.975,678.0
2025-01-08,ILI incidence,1,2025-01-05,BE,quantile,0.990,722.8280000000005
2025-01-08,ILI incidence,1,2025-01-05,BE,median,,323.7
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.010,0.0
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.025,0.0
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.050,11.099999999999966
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.100,156.99999999999997
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.150,201.58499999999995
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.200,227.98
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.250,249.2
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.300,265.93999999999994
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.350,281.40000000000003
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.400,295.16
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.450,309.6
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.500,322.59999999999997
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.550,335.6
2025-01-08,ILI incidence,2,2025-01-12,BE,quantile,0.600,349.9
