target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2025-04-09,2025-04-06,0.01,1,quantile,668.734699764834
ILI incidence,AT,2025-04-09,2025-04-06,0.025,1,quantile,734.523548550722
ILI incidence,AT,2025-04-09,2025-04-06,0.05,1,quantile,859.416034619833
ILI incidence,AT,2025-04-09,2025-04-06,0.1,1,quantile,989.321076056023
ILI incidence,AT,2025-04-09,2025-04-06,0.15,1,quantile,1086.51778028933
ILI incidence,AT,2025-04-09,2025-04-06,0.2,1,quantile,1170.16659077318
ILI incidence,AT,2025-04-09,2025-04-06,0.25,1,quantile,1249.07495286835
ILI incidence,AT,2025-04-09,2025-04-06,0.3,1,quantile,1305.90947866557
ILI incidence,AT,2025-04-09,2025-04-06,0.35,1,quantile,1360.39476540433
ILI incidence,AT,2025-04-09,2025-04-06,0.4,1,quantile,1423.61969480914
ILI incidence,AT,2025-04-09,2025-04-06,0.45,1,quantile,1481.81323253971
ILI incidence,AT,2025-04-09,2025-04-06,0.5,1,quantile,1556.9368441848
ILI incidence,AT,2025-04-09,2025-04-06,0.55,1,quantile,1606.027810531
ILI incidence,AT,2025-04-09,2025-04-06,0.6,1,quantile,1674.53083439362
ILI incidence,AT,2025-04-09,2025-04-06,0.65,1,quantile,1715.35791907893
ILI incidence,AT,2025-04-09,2025-04-06,0.7,1,quantile,1787.53964741293
ILI incidence,AT,2025-04-09,2025-04-06,0.75,1,quantile,1850.35992437868
ILI incidence,AT,2025-04-09,2025-04-06,0.8,1,quantile,1925.64779709832
ILI incidence,AT,2025-04-09,2025-04-06,0.85,1,quantile,2036.43956338461
ILI incidence,AT,2025-04-09,2025-04-06,0.9,1,quantile,2179.95862504154
ILI incidence,AT,2025-04-09,2025-04-06,0.95,1,quantile,2383.99393221029
ILI incidence,AT,2025-04-09,2025-04-06,0.975,1,quantile,2531.45835460946
ILI incidence,AT,2025-04-09,2025-04-06,0.99,1,quantile,2716.41218708394
ILI incidence,AT,2025-04-09,2025-04-13,0.01,2,quantile,509.10958910102
ILI incidence,AT,2025-04-09,2025-04-13,0.025,2,quantile,611.218558687297
ILI incidence,AT,2025-04-09,2025-04-13,0.05,2,quantile,686.863878827863
ILI incidence,AT,2025-04-09,2025-04-13,0.1,2,quantile,818.151480325781
ILI incidence,AT,2025-04-09,2025-04-13,0.15,2,quantile,893.373287496067
ILI incidence,AT,2025-04-09,2025-04-13,0.2,2,quantile,986.793594114508
ILI incidence,AT,2025-04-09,2025-04-13,0.25,2,quantile,1055.16331616967
ILI incidence,AT,2025-04-09,2025-04-13,0.3,2,quantile,1133.38490508132
ILI incidence,AT,2025-04-09,2025-04-13,0.35,2,quantile,1191.38519565178
ILI incidence,AT,2025-04-09,2025-04-13,0.4,2,quantile,1247.41056964174
ILI incidence,AT,2025-04-09,2025-04-13,0.45,2,quantile,1306.03504916057
ILI incidence,AT,2025-04-09,2025-04-13,0.5,2,quantile,1358.32790145462
ILI incidence,AT,2025-04-09,2025-04-13,0.55,2,quantile,1418.29531279378
ILI incidence,AT,2025-04-09,2025-04-13,0.6,2,quantile,1494.98178147485
ILI incidence,AT,2025-04-09,2025-04-13,0.65,2,quantile,1563.68117563737
ILI incidence,AT,2025-04-09,2025-04-13,0.7,2,quantile,1638.40635127155
ILI incidence,AT,2025-04-09,2025-04-13,0.75,2,quantile,1740.4559205739
