"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-08-13,1,2025-08-10,0.01,1554.97,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.025,1560.475,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.05,1565.8,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.1,1576.9,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.15,1586.7,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.2,1598,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.25,1603,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.3,1610,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.35,1615.65,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.4,1619,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.45,1623.75,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.5,1628.5,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.55,1633.9,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.6,1636,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.65,1639,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.7,1642.3,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.75,1647,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.8,1655,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.85,1663.6,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.9,1674.5,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.95,1689.15,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.975,1698.625,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.99,1704.33,"quantile","ILI incidence","AT"
2025-08-13,1,2025-08-10,0.01,25.91,"quantile","ILI incidence","BE"
2025-08-13,1,2025-08-10,0.025,26,"quantile","ILI incidence","BE"
2025-08-13,1,2025-08-10,0.05,28.9,"quantile","ILI incidence","BE"
