"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-07-23,1,2025-07-20,0.01,1509.72,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.025,1512,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.05,1513,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.1,1526.6,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.15,1541,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.2,1547,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.25,1554,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.3,1561,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.35,1565,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.4,1573.2,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.45,1580.55,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.5,1583.5,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.55,1587.45,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.6,1594,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.65,1600,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.7,1607,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.75,1611.5,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.8,1616.2,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.85,1621.15,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.9,1625.1,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.95,1638.25,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.975,1651.15,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.99,1666.18,"quantile","ILI incidence","AT"
2025-07-23,1,2025-07-20,0.01,20.96,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.025,22.475,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.05,24.95,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.1,25.9,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.15,27.85,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.2,28.8,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.25,29,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.3,30.7,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.35,31,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.4,32,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.45,33,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.5,33.5,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.55,34.45,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.6,36,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.65,36.35,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.7,37,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.75,39,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.8,40,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.85,40,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.9,41.1,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.95,43.05,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.975,44.525,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.99,46.03,"quantile","ILI incidence","BE"
2025-07-23,1,2025-07-20,0.01,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.025,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.05,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.1,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.15,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.2,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.25,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.3,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.35,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.4,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.45,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.5,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.55,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.6,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.65,0,"quantile","ILI incidence","HR"
2025-07-23,1,2025-07-20,0.7,0,"quantile","ILI incidence","HR"
