"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-06-25,1,2025-06-22,0.01,1494.86,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.025,1503.95,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.05,1519.3,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.1,1524.8,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.15,1528.7,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.2,1536.6,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.25,1542,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.3,1551.7,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.35,1559,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.4,1565.2,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.45,1571,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.5,1574,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.55,1577.45,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.6,1582,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.65,1587,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.7,1596,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.75,1607,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.8,1615.4,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.85,1625.45,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.9,1642.1,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.95,1650,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.975,1665.15,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.99,1669.14,"quantile","ILI incidence","AT"
2025-06-25,1,2025-06-22,0.01,21.98,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.025,23,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.05,27.85,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.1,30,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.15,31.85,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.2,33,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.25,34,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.3,34.7,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.35,35,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.4,36,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.45,37,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.5,38.5,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.55,39,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.6,40,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.65,42,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.7,42,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.75,44,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.8,44,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.85,45,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.9,46.1,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.95,48.05,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.975,50.525,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.99,53.01,"quantile","ILI incidence","BE"
2025-06-25,1,2025-06-22,0.01,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.025,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.05,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.1,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.15,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.2,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.25,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.3,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.35,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.4,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.45,0,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.5,1,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.55,1,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.6,1,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.65,1,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.7,1,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.75,1,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.8,1,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.85,2,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.9,2,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.95,2.05,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.975,3,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.99,3,"quantile","ILI incidence","HR"
2025-06-25,1,2025-06-22,0.01,284258969.79,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.025,284265169.2,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.05,284272653.9,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.1,284274614.8,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.15,284278646,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.2,284280463.2,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.25,284284598.25,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.3,284286053.6,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.35,284288437.2,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.4,284292450.4,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.45,284293722.75,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.5,284295198,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.55,284298321.6,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.6,284299655.2,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.65,284302976.8,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.7,284307390.3,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.75,284308644.25,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.8,284310428,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.85,284313789.65,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.9,284317854,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.95,284327179.3,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.975,284329210.175,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.99,284332293.03,"quantile","ILI incidence","CZ"
2025-06-25,1,2025-06-22,0.01,71,"quantile","ILI incidence","DK"
