"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-01-01,1,2024-12-29,0.025,33.95,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.05,37.95,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.1,43,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.15,44,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.2,44,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.25,46,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.3,47,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.35,49,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.4,50,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.45,51,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.5,52,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.55,53,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.6,54,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.65,54,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.7,55,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.75,57,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.8,58,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.85,59,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.9,59,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.95,63.05,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.975,66.575,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.99,68.01,"quantile","ILI incidence","CZ"
2025-01-01,1,2024-12-29,0.01,108,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.025,108,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.05,110.9,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.1,113,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.15,116,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.2,118,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.25,119.75,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.3,121.7,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.35,123,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.4,125,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.45,126.55,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.5,127,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.55,128,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.6,129,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.65,130,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.7,132,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.75,133.25,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.8,136.6,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.85,141.3,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.9,144.1,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.95,148.05,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.975,150.525,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.99,152.04,"quantile","ILI incidence","DK"
2025-01-01,1,2024-12-29,0.01,266.9,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.025,269.475,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.05,271.95,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.1,282.6,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.15,287.7,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.2,288,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.25,290,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.3,292.4,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.35,295,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.4,297.6,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.45,300,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.5,302,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.55,303.45,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.6,304.4,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.65,305.35,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.7,307,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.75,309.25,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.8,311.4,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.85,318,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.9,321,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.95,329.15,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.975,334.525,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.99,336.02,"quantile","ILI incidence","EE"
2025-01-01,1,2024-12-29,0.01,113.95,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.025,115,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.05,118,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.1,121,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.15,124,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.2,126,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.25,127,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.3,130,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.35,132,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.4,133,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.45,134,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.5,135,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.55,136.45,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.6,139,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.65,141,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.7,142,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.75,144.5,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.8,149,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.85,151,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.9,154.1,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.95,160.05,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.975,162.575,"quantile","ILI incidence","FR"
