"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-07-02,1,2025-06-29,0.01,1469.76,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.025,1485.75,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.05,1499.9,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.1,1512,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.15,1524,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.2,1528,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.25,1536,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.3,1542.4,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.35,1546.3,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.4,1547.6,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.45,1550.1,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.5,1553,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.55,1557,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.6,1564.8,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.65,1567.35,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.7,1578.3,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.75,1581.75,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.8,1594,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.85,1600.3,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.9,1610.2,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.95,1628.05,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.975,1631.525,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.99,1638.06,"quantile","ILI incidence","AT"
2025-07-02,1,2025-06-29,0.01,24.98,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.025,26.475,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.05,27,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.1,29.9,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.15,30.85,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.2,32,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.25,32,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.3,33,"quantile","ILI incidence","BE"
2025-07-02,1,2025-06-29,0.35,34,"quantile","ILI incidence","BE"
